,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
0,private,For fleet and employee use only,,,2023-01-10,,ELEC,Private,1525,1999-10-15,LG,E,,LADWP - John Ferraro Building,,2023-02-15T22:45:41Z,UTILITY,GPS,34.059133,-118.248589,Los Angeles,Across Hope,,CA,111 N Hope St,90012,US,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,311.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
1,private,Fleet and employee use only,,,2023-01-10,,ELEC,Private,1572,1999-10-15,LG,E,,LADWP - EV Service Center,,2023-02-15T22:45:41Z,UTILITY,200-8,34.066801,-118.227605,Los Angeles,,,CA,1630 N Main St,90012,US,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,46.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
2,public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,2022-08-10,,ELEC,Public,21374,2002-01-31,P,E,False,Music Center Parking - Level 2,213-972-7211  323-267-2023,2023-02-14T15:54:11Z,PAY_GARAGE,GPS,34.057657,-118.24789,Los Angeles,"Music Center Parking Lot 14, level 2",,CA,135 N Grand Ave,90012,US,,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
3,public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,2022-08-10,,ELEC,Public,63047,2014-08-01,LG,E,False,Walt Disney Concert Hall,323-881-3919,2023-02-14T15:54:11Z,PAY_GARAGE,200-8,34.055505,-118.248852,Los Angeles,Disney Concert Hall Parking Lot 16,,CA,111 S Grand Ave,90012,US,,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
4,private,Los Angeles County fleet use only,,,2022-08-10,,ELEC,Private,63048,2014-08-01,LG,E,,Los Angeles County - Hall of Administration Lower Level,,2023-02-14T15:54:11Z,FLEET_GARAGE,200-8,34.056889,-118.247789,Los Angeles,"Located in Internal Services Department  Lot 18, fleet lower level",,CA,140 N Grand Ave,90012,US,,,,,,,,,,,,['J1772'],,,10.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
5,private,Employee use only,,,2022-08-10,,ELEC,Private,63049,2018-07-01,LG,E,,Los Angeles County - Hall of Administration Employee Lot,,2023-02-14T15:54:11Z,MUNI_GOV,200-8,34.056889,-118.247789,Los Angeles,Employees Lower lot,,CA,140 N Grand Ave,90012,US,,,,,,,,,,,,['J1772'],,,10.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Privé,,,
6,public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,2022-08-10,,ELEC,Public,63050,2014-08-01,LG,E,False,Los Angeles County - Hall of Records Lot 10,323-881-3919,2023-02-14T15:54:11Z,PAY_GARAGE,GPS,34.055641,-118.244271,Los Angeles,Parking Lot 10,,CA,227 N Broadway,90012,US,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
7,public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,2022-08-10,,ELEC,Public,63051,2014-08-01,LG,E,False,Music Center Parking - Level 3,213-972-7211  323-267-2023,2023-02-14T15:54:11Z,PAY_GARAGE,GPS,34.057657,-118.24789,Los Angeles,"Music Center Parking Lot 14, level 3",,CA,135 N Grand Ave,90012,US,,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
8,public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,2022-08-10,,ELEC,Public,63052,2014-08-01,LG,E,False,Department of Health Services Administration,213-972-7211  323-267-2023,2023-02-14T15:54:11Z,PAY_GARAGE,GPS,34.060148,-118.250747,Los Angeles,Located in Lot 29. Enter on N Figueroa.,,CA,313 N Figueroa,90012,US,,,,,,,,,,,,"['CHADEMO', 'J1772']",3.0,,40.0,POWERFLEX,https://www.powerflex.com,,$0.30 per kWh; $0.45 per kWh from 4pm-9pm,,,,,,,,,,,,,,,,,,,,,,Public,,,
9,private,Permitted employee parking only,,,2022-08-10,,ELEC,Private,63053,2014-08-01,LG,E,,Los Angeles County Sheriff - Men's Central Jail,,2023-02-14T15:54:11Z,PRISON,200-9,34.059715,-118.231965,Los Angeles,,,CA,441 Bauchet St,90012,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
