,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,federal_agency,ev_network_ids
0,public,24 hours daily; pay lot,,,2023-01-10,,ELEC,Public,6506,1997-08-30,LG,E,False,City of Pasadena - De Lacey Garage,626-744-7665,2023-02-14T15:54:11Z,PARKING_GARAGE,GPS,34.145138,-118.152655,Pasadena,,,CA,45 De Lacey Ave,91105,US,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free; parking fee,,,,,,,,,,,,,,,,,,,,,,Public,,,
1,public,24 hours daily; pay lot,,,2023-01-10,,ELEC,Public,6507,1997-08-30,LG,E,False,City of Pasadena - Schoolhouse Garage,626-744-7665,2023-02-14T15:54:11Z,PARKING_GARAGE,GPS,34.145119,-118.150133,Pasadena,,,CA,33 E Green St,91105,US,,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,"$1 for the first two hours, $2 each additional hour; parking fee",,,,,,,,,,,,,,,,,,,,,,Public,,,
2,private,Employee use only,,,2021-02-22,,ELEC,Private,70060,2015-07-01,FG,E,,Richard H. Chambers United States Courthouse,,2021-03-11T23:22:17Z,FED_GOV,200-9,34.143424,-118.162644,Pasadena,,,CA,125 S Grand Ave,91105,US,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,"{'id': 21, 'code': 'GSA', 'name': 'General Services Administration'}",
3,public,24 hours daily; pay lot,,,2023-01-10,,ELEC,Public,85750,2017-06-01,LG,E,False,City of Pasadena - Del Mar Station,626-744-7665,2023-02-14T15:54:11Z,PARKING_GARAGE,GPS,34.142,-118.148626,Pasadena,,,CA,198 S Raymond Ave,91105,US,,,,,,,,,,,,['J1772'],,,5.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,
4,public,24 hours daily,,,2023-05-14,,ELEC,Public,152370,2020-01-10,,E,,Marengo Garage,855-900-7584,2023-05-14T00:38:18Z,,200-8,34.144894,-118.14673,Pasadena,,,CA,155 E Green St,91105,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",17.0,,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['2195'], 'posts': ['153366', '153367', '153368', '153369', '153370', '153372', '153373', '153374', '153375', '153377', '153378', '153379', '153381', '153382', '153383', '153384', '153385']}"
5,public,Mon 6:00am - 9:00pm; Tue 6:00am - 9:00pm; Wed 6:00am - 9:00pm; Thu 6:00am - 9:00pm; Fri 6:00am - 9:00pm; Sat 6:00am - 9:00pm; Sun 6:00am - 9:00pm,,,2023-05-14,,ELEC,Public,152842,2020-01-20,,E,False,Whole Foods Market Arroyo Basement,888-264-2208,2023-05-14T01:26:48Z,,GPS,34.1376227,-118.1477363,Pasadena,,,CA,465 South Arroyo Parkway,91105,US,,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['7794f300-a171-4193-ac72-b0131a41e453'], 'posts': ['03eb4047-34b6-4c85-9b73-b8de92df304a', '294950f4-e8c6-42c1-9173-f335a1f863b3']}"
6,public,24 hours daily; for Tesla use only,,,2022-10-03,,ELEC,Public,153425,2020-01-31,P,E,,Marengo Garage - Tesla Supercharger,877-798-3752,2022-12-01T17:40:26Z,,GPS,34.144942,-118.146714,Pasadena,,,CA,155 East Green Street,91105,US,,,,,,,,,,,,['TESLA'],24.0,,,Tesla,https://www.tesla.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['8201']}
7,public,24 hours daily,,,2023-05-14,,ELEC,Public,159133,2020-06-12,,E,,HUNTINGTON ORTH CONGRESS ST,888-758-4389,2023-05-14T00:14:38Z,,GPS,34.134327,-118.151226,Pasadena,,,CA,39 Congress St,91105,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL801941'], 'posts': ['1064671', '1064681']}"
8,public,24 hours daily,,,2023-05-14,,ELEC,Public,163421,2020-06-17,,E,,PMB PASADENA PASADENA #1,888-758-4389,2023-05-14T00:21:04Z,,GPS,34.134934,-118.151118,Pasadena,,,CA,625 S Fair Oaks Ave,91105,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL5354571'], 'posts': ['8937551', '8937561']}"
9,public,24 hours daily,,,2023-05-14,,ELEC,Public,178941,2021-01-27,,E,,EAST PARKING 6TH FLOOR 1,888-758-4389,2023-05-14T00:06:20Z,,GPS,34.133609,-118.151041,Pasadena,,,CA,734 Fairmount Ave S,91105,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL137015'], 'posts': ['12375191', '12375201']}"
10,public,24 hours daily,,,2023-05-14,,ELEC,Public,178943,2021-01-27,,E,,EAST PARKING 6TH FLOOR 3,888-758-4389,2023-05-14T00:05:32Z,,GPS,34.133651,-118.151038,Pasadena,,,CA,734 Fairmount Ave S,91105,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL123615'], 'posts': ['160745', '160747']}"
11,public,24 hours daily,,,2023-05-14,,ELEC,Public,178944,2021-01-27,,E,,EAST PARKING 6TH FLOOR 2,888-758-4389,2023-05-14T00:05:28Z,,GPS,34.13356,-118.151041,Pasadena,,,CA,734 Fairmount Ave S,91105,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL122925'], 'posts': ['839811', '839821']}"
12,public,24 hours daily,,,2023-05-14,,ELEC,Public,180593,2021-01-27,,E,,PMB PASADENA PASADENA #3,888-758-4389,2023-05-14T00:21:04Z,,GPS,34.135091,-118.1511,Pasadena,,,CA,625 S Fair Oaks Ave,91105,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL5354731'], 'posts': ['8937791', '8937801']}"
13,public,24 hours daily,,,2023-05-14,,ELEC,Public,180594,2021-01-27,,E,,PMB PASADENA PASADENA #2,888-758-4389,2023-05-14T00:21:04Z,,GPS,34.135018,-118.15111,Pasadena,,,CA,625 S Fair Oaks Ave,91105,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL5354741'], 'posts': ['8937811', '8937821']}"
14,public,24 hours daily,,,2023-05-14,,ELEC,Public,180595,2021-01-27,,E,,PMB PASADENA PASADENA #4,888-758-4389,2023-05-14T00:21:04Z,,GPS,34.135116,-118.151145,Pasadena,,,CA,625 S Fair Oaks Ave,91105,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL5354721'], 'posts': ['8937771', '8937781']}"
15,public,24 hours daily; for Tesla use only,,A D Debit M V,2022-10-03,,ELEC,Public,200860,2021-10-21,P,E,False,"Pasadena, CA - E. Glenarm St. - Tesla Supercharger",877-798-3752,2022-12-01T17:40:26Z,PARKING_LOT,GPS,34.1273,-118.14781,Pasadena,,,CA,85 East State Street,91105,US,,,,,,,,,,,,['TESLA'],20.0,,,Tesla,https://www.tesla.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['14447']}
16,public,24 hours daily,,,2023-05-14,,ELEC,Public,217169,2022-05-08,,E,,EAST PARKING 1ST FLOOR,888-758-4389,2023-05-14T00:05:41Z,,GPS,34.133622,-118.150979,Pasadena,,,CA,734 Fairmount Ave S,91105,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL125251'], 'posts': ['21997611', '21997621']}"
17,public,24 hours daily,,,2023-05-14,,ELEC,Public,217170,2022-05-08,,E,,EAST PARKING DOCTORS 1,888-758-4389,2023-05-14T00:06:20Z,,GPS,34.133645,-118.151583,Pasadena,,,CA,734 Fairmount Ave S,91105,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['USCPIL137021'], 'posts': ['22853351', '22853361']}"
18,public,,,,2023-05-13,,ELEC,Public,222973,2022-07-08,,E,,Westgate,888-998-2546,2023-05-13T23:58:29Z,,GPS,34.141241,-118.15252,Pasadena,Inside of the garage left side in the ||corner. Infront of the elevators.||,,CA,231 South De Lacey Avenue,91105,US,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['465ba1dd-d734-8158-93cc-330000741850'], 'posts': ['465ba1dd-d734-8158-93cc-330000753509']}"
19,public,,,,2023-05-13,,ELEC,Public,222974,2022-07-08,,E,,Westgate,888-998-2546,2023-05-13T23:58:29Z,,GPS,34.142266,-118.152862,Pasadena,Inside of the garage left side in the ||corner. Infront of the elevators.||,,CA,231 South De Lacey Avenue,91105,US,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['465ba1dd-d734-8158-93cc-330000741844'], 'posts': ['465ba1dd-d734-8158-93cc-330000727537']}"
20,public,24 hours daily,,,2023-05-14,,ELEC,Public,224412,2022-07-26,,E,,Del Mar Garage EV,855-900-7584,2023-05-14T00:38:51Z,,GPS,34.142037,-118.148428,Pasadena,,,CA,202 S Raymond Ave,91105,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",2.0,,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['3424'], 'posts': ['153788', '153789']}"
21,public,Mon 11:00pm - 11:00pm; Tue 11:00pm - 11:00pm; Wed 11:00pm - 11:00pm; Thu 11:00pm - 11:00pm; Fri 11:00pm - 11:00pm; Sat 11:00pm - 11:00pm; Sun 11:00pm - 11:00pm,,,2023-05-14,,ELEC,Public,253664,2023-02-08,,E,,Whole Foods Market Arroyo 1st Floor,888-264-2208,2023-05-14T01:27:31Z,,GPS,34.1377186,-118.14779745,Pasadena,,,CA,465 South Arroyo Parkway,91105,US,,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['e03ca235-a6ea-4f47-af8c-1a644d1a6b75'], 'posts': ['150681e7-f77a-4db0-a11d-eef341eb1929', '7196e46b-6037-4ea7-ad50-9773fde6abf1']}"
