,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids
0,public,24 hours daily,,,2023-05-14,,ELEC,Public,158955,2020-06-12,,E,,LANCASTER CH CHARGER 1,888-758-4389,2023-05-14T00:16:11Z,,GPS,34.699745,-118.14541,Lancaster,,,CA,44933 Fern Ave,93534,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1852041'], 'posts': ['2177361']}"
1,public,24 hours daily,,,2023-05-14,,ELEC,Public,159519,2020-06-12,,E,,HONDA LANCASTER STATION 01,888-758-4389,2023-05-14T00:11:16Z,,GPS,34.669024,-118.149189,Lancaster,,,CA,43244 Drivers Way,93534,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL440281'], 'posts': ['596201']}"
2,public,24 hours daily,,,2023-05-14,,ELEC,Public,159617,2020-06-12,,E,,LANCASTER METROLINK #1,888-758-4389,2023-05-14T00:10:58Z,,GPS,34.696238,-118.13613,Lancaster,,,CA,44812 Sierra Hwy,93534,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL378771'], 'posts': ['9274701', '9274711']}"
3,public,24 hours daily,,,2023-05-14,,ELEC,Public,163798,2020-07-02,,E,,LANCASTER MOAH1,888-758-4389,2023-05-14T00:21:21Z,,GPS,34.698696,-118.142044,Lancaster,,,CA,665 W Lancaster Blvd,93534,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5370981'], 'posts': ['8958821']}"
4,public,Dealership business hours,,,2022-08-10,,ELEC,Public,167309,2020-09-28,P,E,True,Toyota of Lancaster,661-948-0731,2023-02-14T15:54:11Z,CAR_DEALER,GPS,34.670745,-118.152947,Lancaster,,,CA,43301 12th St W,93534,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,SOLAR,,,,,,,,,,,,,,,,,,,,,Public,,
5,public,Dealership business hours,,,2023-01-10,,ELEC,Public,167310,2020-09-28,P,E,True,Antelope Valley Ford,855-887-9027,2023-02-14T15:54:11Z,CAR_DEALER,GPS,34.670522,-118.150457,Lancaster,,,CA,1155 Auto Mall Dr,93534,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Public,,
6,public,Dealership business hours; customer use only,,,2022-08-10,,ELEC,Public,167311,2020-09-28,P,E,True,Antelope Valley Chevrolet,855-210-0668,2023-02-14T15:54:11Z,CAR_DEALER,GPS,34.668431,-118.152467,Lancaster,,,CA,1160 Motor Ln,93534,US,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Public,,
7,public,24 hours daily,,,2023-05-14,,ELEC,Public,171298,2021-01-15,,E,,LANCASTER OMP #2,888-758-4389,2023-05-14T00:19:34Z,,GPS,34.666717,-118.149188,Lancaster,,,CA,43063 10TH ST W,93534,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2109641'], 'posts': ['9212371', '9212381']}"
8,public,24 hours daily,,,2023-05-14,,ELEC,Public,176362,2021-01-27,,E,,LANCASTER CH CHARGER 2,888-758-4389,2023-05-14T00:16:11Z,,GPS,34.69978,-118.14535,Lancaster,,,CA,44933 Fern Ave,93534,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1851981'], 'posts': ['2177311']}"
9,public,24 hours daily,,,2023-05-14,,ELEC,Public,176363,2021-01-27,,E,,LANCASTER CH CHARGER 3,888-758-4389,2023-05-14T00:16:12Z,,GPS,34.699677,-118.145386,Lancaster,,,CA,44933 Fern Ave,93534,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1853881'], 'posts': ['2179861']}"
10,public,24 hours daily,,,2023-05-14,,ELEC,Public,176364,2021-01-27,,E,,LANCASTER CH CHARGER 5,888-758-4389,2023-05-14T00:16:12Z,,GPS,34.699787,-118.145339,Lancaster,,,CA,44933 Fern Ave,93534,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1853871'], 'posts': ['2179851']}"
11,public,24 hours daily,,,2023-05-14,,ELEC,Public,176365,2021-01-27,,E,,LANCASTER CH CHARGER 4,888-758-4389,2023-05-14T00:16:12Z,,GPS,34.699734,-118.145408,Lancaster,,,CA,44933 Fern Ave,93534,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1853861'], 'posts': ['2179841']}"
12,public,24 hours daily,,,2023-05-14,,ELEC,Public,182238,2021-01-27,,E,,LANCASTER OMP #1,888-758-4389,2023-05-14T00:19:34Z,,GPS,34.666718,-118.149088,Lancaster,,,CA,43063 10TH ST W,93534,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2109601'], 'posts': ['22267111', '22267121']}"
13,public,24 hours daily,,,2023-05-14,,ELEC,Public,182735,2021-01-27,,E,,LANCASTER METROLINK #2,888-758-4389,2023-05-14T00:11:18Z,,GPS,34.696193,-118.136122,Lancaster,,,CA,44812 Sierra Hwy,93534,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL446451'], 'posts': ['603191', '603201']}"
14,public,,,,2023-05-13,,ELEC,Public,195373,2015-09-01,,E,,Kaiser Antelope Valley,800-663-5633,2023-05-13T23:58:57Z,,GPS,34.661079,-118.14191,Lancaster,,,CA,615 West Avenue L,93534,US,,,,,,,,,,,,['J1772'],,,6.0,SemaCharge Network,https://semaconnect.com/,,$1.35/Hr Parking Fee,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1271'], 'posts': ['3145', '3146', '3147', '3148', '3149', '3150']}"
