,id,station_name,open_date,status_code,fuel_type_code,ev_connector_types,ev_network,groups_with_access_code,access_days_time,street_address,city,zip,state,longitude,latitude
0,117709.0,Bexco Enterprises,2019-02-07,E,ELEC,['J1772'],Blink Network,Public,,8700 Rex Rd,Pico Rivera,90660.0,CA,-118.105339,33.979264
1,185373.0,"Walmart 2886 (Pico Rivera, CA)",2021-02-25,E,ELEC,"['CHADEMO', 'J1772COMBO']",Electrify America,Public,24 hours daily,8500 WASHINGTON BLVD,Pico Rivera,90660.0,CA,-118.10495,33.98645
2,197430.0,Pico Rivera Towne Center,2021-10-07,E,ELEC,['J1772'],Volta,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,8982 Washington Blvd,Pico Rivera,90660.0,CA,-118.0999405,33.9841305
3,212402.0,Village Walk Pico Rivera,2022-03-25,E,ELEC,['J1772'],Volta,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,8540 Whittier Boulevard,Pico Rivera,90660.0,CA,-118.0903275,34.002432
4,176659.0,SCPPA SOUTHWEST,2021-01-27,E,ELEC,['J1772'],ChargePoint Network,Public,24 hours daily,1160 Nicole Ct,Glendora,91740.0,CA,-117.822526,34.117961
5,176660.0,SCPPA SOUTHEAST,2021-01-27,E,ELEC,['J1772'],ChargePoint Network,Public,24 hours daily,1160 Nicole Ct,Glendora,91740.0,CA,-117.822374,34.117932
6,182624.0,SCPPA NORTHWEST2,2021-01-27,T,ELEC,['J1772'],ChargePoint Network,TEMPORARILY UNAVAILABLE (Public),24 hours daily,1172 Nicole Ct,Glendora,91740.0,CA,-117.822378,34.118084
7,182625.0,SCPPA NORTHEAST1,2021-01-27,T,ELEC,['J1772'],ChargePoint Network,TEMPORARILY UNAVAILABLE (Public),24 hours daily,1172 Nicole Ct,Glendora,91740.0,CA,-117.822256,34.11808
8,182626.0,SCPPA NORTHEAST2,2021-01-27,T,ELEC,['J1772'],ChargePoint Network,TEMPORARILY UNAVAILABLE (Public),24 hours daily,1172 Nicole Ct,Glendora,91740.0,CA,-117.822302,34.118089
9,182662.0,SCPPA NORTHWEST1,2021-01-27,E,ELEC,['J1772'],ChargePoint Network,Public,24 hours daily,1172 Nicole Ct,Glendora,91740.0,CA,-117.822426,34.118092
